area_sqft,bedrooms,bathrooms,house_age,location,price
767,2,2,9,Greater Noida,6212000.0
2821,5,3,19,Greater Noida,20780000.0
2463,5,4,21,Greater Noida,18245000.0
1816,2,2,28,Greater Noida,11282000.0
1799,2,2,24,Ghaziabad,11465000.0
3075,5,3,7,Gurugram,22858000.0
757,1,1,6,Delhi,6466000.0
2592,5,4,27,Greater Noida,19088000.0
1104,3,3,15,Gurugram,9943000.0
782,1,1,3,Greater Noida,6329000.0
2079,3,2,25,Gurugram,13966000.0
3426,6,5,20,Greater Noida,24264000.0
2707,6,5,0,Ghaziabad,21903000.0
2783,4,2,24,Greater Noida,18209000.0
2652,5,4,18,Delhi,19871000.0
2858,6,5,19,Greater Noida,21541000.0
2039,3,2,26,Gurugram,13740000.0
884,1,1,15,Noida,5795000.0
3019,5,4,14,Ghaziabad,21895000.0
1851,3,2,19,Noida,13418000.0
2001,4,3,6,Gurugram,16544000.0
1612,3,2,4,Ghaziabad,12638000.0
1047,1,1,26,Delhi,6835000.0
3280,6,4,6,Gurugram,24860000.0
2844,5,4,15,Ghaziabad,20306000.0
2431,5,4,8,Noida,18772000.0
1707,3,2,7,Greater Noida,12983000.0
2968,5,4,18,Greater Noida,21553000.0
2136,4,2,24,Gurugram,14488000.0
1830,4,3,13,Gurugram,14197000.0
1851,4,3,4,Ghaziabad,15138000.0
1181,1,1,7,Gurugram,9003000.0
776,2,2,5,Greater Noida,6069000.0
2163,3,2,27,Delhi,15916000.0
3163,6,4,9,Greater Noida,23633000.0
691,1,1,11,Greater Noida,5212000.0
3074,6,4,2,Greater Noida,23729000.0
2982,5,4,13,Ghaziabad,21608000.0
1330,2,2,28,Greater Noida,8319000.0
2394,5,4,12,Greater Noida,19188000.0
995,2,2,20,Greater Noida,7540000.0
2774,5,4,5,Noida,21694000.0
2601,6,4,4,Gurugram,21376000.0
1563,3,2,22,Greater Noida,10479000.0
703,1,1,2,Noida,6553000.0
3412,6,5,13,Ghaziabad,24810000.0
1837,3,3,9,Gurugram,14532000.0
3179,6,4,0,Greater Noida,23592000.0
2533,4,3,16,Gurugram,17796000.0
2835,5,4,29,Delhi,20535000.0
2779,6,5,2,Delhi,22186000.0
1083,1,1,25,Greater Noida,5664000.0
1591,1,1,16,Noida,10817000.0
1900,5,4,22,Greater Noida,15474000.0
1993,5,4,2,Gurugram,17652000.0
631,1,1,26,Delhi,4106000.0
2139,3,3,0,Delhi,16766000.0
962,2,2,28,Gurugram,7394000.0
2730,5,4,20,Greater Noida,20301000.0
2549,5,4,10,Greater Noida,19169000.0
3267,5,4,0,Gurugram,25071000.0
2734,5,4,18,Ghaziabad,20046000.0
1599,3,2,2,Greater Noida,12703000.0
3402,5,4,18,Greater Noida,24033000.0
1732,4,3,23,Gurugram,13239000.0
1477,4,3,8,Noida,12958000.0
3216,6,4,7,Noida,24928000.0
1611,3,2,6,Delhi,13013000.0
729,1,1,6,Noida,6653000.0
1908,4,3,3,Noida,15161000.0
2887,4,3,7,Gurugram,22225000.0
1068,2,2,20,Ghaziabad,7746000.0
1888,3,3,9,Delhi,16093000.0
889,3,2,24,Ghaziabad,6045000.0
2559,5,4,25,Noida,18381000.0
1927,5,4,23,Noida,15091000.0
1490,2,2,16,Delhi,11127000.0
1180,3,3,9,Noida,10859000.0
2193,4,3,28,Ghaziabad,14856000.0
2509,4,3,6,Greater Noida,18993000.0
3320,6,5,14,Greater Noida,25117000.0
1811,4,3,14,Gurugram,14685000.0
982,2,1,23,Delhi,6611000.0
2998,4,3,16,Delhi,22131000.0
2389,4,3,24,Greater Noida,17225000.0
2600,4,4,28,Greater Noida,18290000.0
791,1,1,12,Delhi,6216000.0
1437,3,3,27,Noida,10506000.0
2803,4,3,5,Greater Noida,20438000.0
2996,4,3,28,Delhi,20994000.0
1805,4,3,5,Delhi,14830000.0
2914,5,4,26,Noida,20445000.0
3025,4,3,12,Delhi,21453000.0
1662,4,3,29,Ghaziabad,11461000.0
3194,6,4,4,Greater Noida,24263000.0
1364,2,1,14,Delhi,9985000.0
1218,1,1,27,Gurugram,7994000.0
2547,5,3,1,Ghaziabad,19782000.0
2410,5,3,8,Greater Noida,18010000.0
919,3,3,2,Greater Noida,9197000.0
2998,6,5,9,Ghaziabad,22762000.0
1099,2,2,12,Noida,8339000.0
2914,5,3,19,Ghaziabad,20879000.0
522,2,2,7,Noida,4455000.0
2890,6,5,4,Noida,22502000.0
2860,6,4,5,Ghaziabad,22428000.0
2841,5,4,29,Delhi,19647000.0
2494,4,2,29,Gurugram,17831000.0
1914,3,3,6,Noida,15407000.0
2615,5,3,6,Greater Noida,19527000.0
1331,3,2,1,Ghaziabad,10949000.0
2842,5,3,29,Ghaziabad,20069000.0
2166,4,3,21,Gurugram,15904000.0
1876,4,4,23,Delhi,14777000.0
2016,3,2,9,Ghaziabad,14242000.0
2206,5,3,19,Noida,16377000.0
611,1,1,1,Noida,5113000.0
919,1,1,20,Noida,6302000.0
1236,2,1,17,Delhi,9529000.0
843,1,1,10,Greater Noida,5964000.0
1818,3,3,22,Greater Noida,12240000.0
2505,4,3,20,Delhi,17694000.0
2463,4,3,13,Gurugram,18653000.0
1913,4,3,5,Ghaziabad,15745000.0
3065,5,4,0,Gurugram,23980000.0
2195,3,3,29,Delhi,15050000.0
737,1,1,8,Delhi,6394000.0
2794,6,5,9,Gurugram,22180000.0
2223,3,2,21,Noida,15197000.0
2404,4,3,7,Delhi,17968000.0
2196,4,3,11,Gurugram,17584000.0
2160,4,3,22,Gurugram,14869000.0
771,2,2,18,Ghaziabad,6149000.0
2177,4,3,20,Delhi,15939000.0
2884,6,5,0,Gurugram,23246000.0
1411,2,2,13,Gurugram,11515000.0
2308,4,2,14,Gurugram,16828000.0
592,1,1,19,Gurugram,4229000.0
1542,2,1,4,Greater Noida,11162000.0
1810,2,1,4,Delhi,13598000.0
3448,6,5,23,Ghaziabad,24564000.0
1143,2,2,20,Gurugram,7928000.0
1329,2,1,25,Gurugram,8775000.0
1725,3,2,8,Gurugram,14052000.0
3477,6,5,30,Ghaziabad,24521000.0
3060,4,2,8,Ghaziabad,21735000.0
604,1,1,20,Noida,4077000.0
1201,2,2,5,Delhi,9574000.0
2965,6,4,28,Ghaziabad,21898000.0
674,1,1,10,Ghaziabad,4874000.0
3067,6,4,24,Delhi,22406000.0
1344,2,2,10,Gurugram,11026000.0
3252,5,4,24,Noida,22727000.0
1380,3,2,14,Ghaziabad,10008000.0
1802,3,2,1,Delhi,14312000.0
2485,5,3,5,Gurugram,19582000.0
878,1,2,21,Delhi,6495000.0
2171,4,3,5,Delhi,18026000.0
2015,4,4,8,Gurugram,16474000.0
2851,6,4,16,Gurugram,20816000.0
3488,6,4,7,Delhi,26467000.0
2492,3,2,3,Greater Noida,17942000.0
1727,2,1,19,Ghaziabad,11372000.0
1719,4,3,21,Delhi,13353000.0
1753,4,3,22,Noida,13126000.0
2942,5,3,29,Delhi,20732000.0
1463,1,1,3,Ghaziabad,10581000.0
1000,2,2,13,Gurugram,7961000.0
1502,3,2,7,Greater Noida,11101000.0
568,2,1,27,Gurugram,5677000.0
818,2,1,16,Ghaziabad,5589000.0
770,1,1,3,Ghaziabad,6054000.0
2814,4,4,21,Delhi,19659000.0
2667,5,4,1,Ghaziabad,20653000.0
2590,4,3,8,Gurugram,19168000.0
1885,3,2,22,Noida,13008000.0
2651,6,4,15,Delhi,21081000.0
983,3,2,23,Gurugram,8112000.0
3201,6,4,17,Greater Noida,23617000.0
2003,3,3,26,Greater Noida,12902000.0
3314,6,4,17,Ghaziabad,24848000.0
956,2,2,1,Delhi,8076000.0
1991,4,3,2,Gurugram,16952000.0
2588,6,5,24,Delhi,20395000.0
1986,4,3,1,Delhi,16458000.0
1838,4,3,11,Ghaziabad,13676000.0
998,2,2,0,Delhi,9006000.0
1643,3,2,9,Greater Noida,12060000.0
1216,1,1,18,Ghaziabad,7812000.0
1404,3,2,5,Noida,11217000.0
2551,4,3,14,Noida,17689000.0
2390,3,2,30,Gurugram,16673000.0
2321,5,4,2,Gurugram,19024000.0
1585,4,3,1,Ghaziabad,12924000.0
3379,6,4,8,Noida,25078000.0
762,2,2,25,Noida,5761000.0
1527,4,4,12,Noida,12285000.0
854,2,1,19,Delhi,5495000.0
1516,3,3,1,Greater Noida,12487000.0
3385,5,3,22,Greater Noida,23661000.0
1598,3,2,2,Gurugram,12988000.0
3225,6,5,22,Gurugram,23598000.0
1985,3,3,4,Delhi,15587000.0
2599,5,4,26,Greater Noida,17935000.0
1872,3,2,9,Ghaziabad,13189000.0
1297,4,3,5,Greater Noida,10799000.0
2792,6,4,10,Gurugram,22290000.0
3407,6,4,0,Noida,25860000.0
1290,3,2,5,Delhi,10671000.0
2836,5,4,18,Ghaziabad,21423000.0
1283,2,1,9,Delhi,9978000.0
2650,4,3,10,Ghaziabad,19313000.0
2867,5,3,25,Noida,20134000.0
1848,3,3,3,Delhi,14494000.0
2710,4,3,12,Delhi,18988000.0
1316,3,2,5,Ghaziabad,10900000.0
737,2,2,14,Greater Noida,6081000.0
789,1,1,10,Greater Noida,5631000.0
1841,3,3,1,Ghaziabad,14217000.0
3207,6,5,2,Greater Noida,25005000.0
882,2,2,26,Greater Noida,5299000.0
1867,4,3,1,Greater Noida,14665000.0
2612,5,5,24,Noida,18873000.0
1107,1,1,28,Gurugram,7941000.0
2664,4,3,14,Greater Noida,19421000.0
1417,3,3,9,Noida,10459000.0
2925,6,5,24,Noida,21094000.0
2237,5,3,30,Gurugram,16360000.0
2140,5,4,3,Ghaziabad,16990000.0
1030,2,2,29,Greater Noida,6125000.0
1889,3,2,29,Ghaziabad,13332000.0
3069,5,4,4,Noida,23358000.0
558,1,1,1,Greater Noida,5078000.0
2775,5,3,22,Greater Noida,19334000.0
1978,3,3,2,Gurugram,16059000.0
2658,5,4,18,Noida,19588000.0
2489,4,3,2,Ghaziabad,18554000.0
1796,3,3,21,Delhi,13545000.0
1426,3,2,7,Gurugram,10953000.0
2381,4,3,2,Ghaziabad,18731000.0
920,2,1,2,Greater Noida,7576000.0
2252,4,3,5,Greater Noida,17634000.0
784,1,1,16,Greater Noida,4807000.0
2449,4,3,2,Delhi,18588000.0
2386,5,3,24,Greater Noida,16580000.0
753,1,1,18,Delhi,5611000.0
2772,4,3,9,Delhi,20581000.0
1747,2,1,30,Gurugram,11222000.0
2860,5,3,20,Greater Noida,19846000.0
624,1,1,20,Gurugram,4099000.0
1038,2,1,5,Ghaziabad,7969000.0
1981,4,3,22,Delhi,14593000.0
1064,1,1,17,Delhi,7183000.0
1489,3,3,30,Gurugram,11578000.0
2481,6,4,14,Ghaziabad,19015000.0
933,1,1,21,Delhi,6991000.0
2533,4,3,10,Greater Noida,18235000.0
810,1,1,1,Ghaziabad,6497000.0
1025,1,1,3,Ghaziabad,7565000.0
2262,4,3,26,Delhi,15520000.0
2880,6,5,22,Delhi,22519000.0
1011,3,2,11,Noida,8442000.0
1399,2,2,21,Gurugram,10495000.0
3275,6,5,0,Delhi,25417000.0
3469,6,5,1,Noida,26569000.0
2243,5,5,15,Gurugram,17642000.0
1841,3,2,19,Delhi,13935000.0
1540,3,2,29,Noida,10753000.0
2337,5,3,23,Ghaziabad,16990000.0
2272,6,5,7,Gurugram,19793000.0
1384,3,3,25,Greater Noida,10446000.0
568,1,1,15,Gurugram,4991000.0
954,2,1,25,Ghaziabad,5530000.0
3375,6,5,5,Greater Noida,25207000.0
1754,3,2,0,Greater Noida,13093000.0
1946,4,4,1,Ghaziabad,16008000.0
1901,3,4,30,Delhi,13713000.0
2848,5,4,2,Gurugram,21702000.0
694,1,1,29,Noida,4083000.0
748,2,2,22,Gurugram,5385000.0
1327,3,2,4,Ghaziabad,10573000.0
1959,2,1,26,Noida,11911000.0
